postcode	placeId	name	latitude	longitude	types	vicinity	source
S36	osm_152133744	Anush Convenience Store	53.4421894	-1.4694544	convenience	St. Mary's Lane	osm
S36	geograph_1665040	Birley Hall, Edge Lane, Birley Edge, Sheffield - 1	53.430956	-1.503889	geograph		geograph
S36	geograph_1665047	Birley Hall, Edge Lane, Birley Edge, Sheffield - 2	53.430687	-1.504043	geograph		geograph
S36	osm_263828245	Birley Stone	53.4364971	-1.5127889	monument		osm
S36	osm_1155085825	Brown's Cafe	53.4425404	-1.4705622	cafe	Church Street	osm
S36	osm_152134917	Church of Saint Mary's	53.4435858	-1.4700155	place_of_worship		osm
S36	osm_6216981140	Clock House Tea Room	53.4375824	-1.5097197	cafe	Sheffield	osm
S36	osm_280721742	Coronation Park	53.4369986	-1.5364269	park		osm
S36	geograph_1665061	Door Detail on Birley Hall, Edge Lane, Birley Edge, Sheffield - 4	53.430775	-1.503741	geograph		geograph
S36	osm_25882942	Ecclesfield Park	53.442829	-1.4643252	park		osm
S36	geograph_1665032	Entrance Gates to Birley Hall, Edge Lane, Birley Edge, Sheffield	53.430776	-1.503891	geograph		geograph
S36	geograph_1665067	Exit from Birley Hall, Edge Lane, Birley Edge, Sheffield	53.430596	-1.503893	geograph		geograph
S36	osm_152447194	Gatty Hall	53.4430881	-1.4714407	community_centre		osm
S36	osm_267583300	Grenoside Communitee Centre	53.4404966	-1.5012701	community_centre		osm
S36	osm_169306201	Grenoside Community Centre	53.4408069	-1.501425	community_centre		osm
S36	osm_169508058	Grenoside Methodist Church	53.4427424	-1.4997242	place_of_worship	Norfolk Hill	osm
S36	osm_7503300131	Grenoside War Memorial	53.4433437	-1.4956396	memorial		osm
S36	osm_267583310	Grenoside Working Mens Club	53.4435504	-1.5038772	working_mens_club		osm
S36	osm_1155085826	Identity	53.4422045	-1.4701823	hairdresser	Stocks Hill	osm
S36	osm_1155085821	Izzy's Closet	53.4425382	-1.4701576	clothes	Church Street	osm
S36	osm_8400679037	Marishells Chippy	53.4422093	-1.4689811	fast_food		osm
S36	geograph_2925969	Memorial garden in Grenoside Crematorium	53.43727	-1.509385	geograph		geograph
S36	osm_1155085822	Mr. Pizza	53.4425092	-1.470187	fast_food	Church Street	osm
S36	osm_169508111	Old Harrow Inn	53.4424586	-1.5031442	pub	Main Street	osm
S36	osm_174015901	Old Red Lion	53.4439234	-1.5036354	pub	Main Street	osm
S36	osm_11196203588	Olivers	53.4424315	-1.5026397	cafe		osm
S36	osm_6209997871	Pete’s Chippy	53.4425863	-1.5030915	fast_food	Main Street	osm
S36	osm_662125718	Rehabilitation Centre	53.4210312	-1.5204342	hospital		osm
S36	osm_169306159	St. Mark's, Grenoside	53.4412364	-1.5017936	place_of_worship		osm
S36	geograph_3154623	Steel Hill	53.432648	-1.500257	geograph		geograph
S36	geograph_1665054	Sun Dial on Birley Hall, Edge Lane, Birley Edge, Sheffield - 3	53.430687	-1.504043	geograph		geograph
S36	osm_169306890	The Angel	53.4419146	-1.5027775	pub	Main Street	osm
S36	osm_152134922	The Black Bull	53.4427577	-1.4698889	pub	Church Street	osm
S36	osm_291201751	The Pheasant	53.4361218	-1.5342957	pub	Station Lane	osm
S36	osm_1190718488	The Purple Lobster	53.4325039	-1.5333547	fast_food	Langsett Road South	osm
S36	osm_152133743	The Stocks	53.4423192	-1.4702731	pub	Stocks Hill	osm
S36	osm_6203084614	The Village Cafe	53.4429217	-1.5029907	cafe		osm
S36	osm_1155085824	Thistles	53.4425851	-1.4704833	florist	Church Street	osm
S36	osm_1155085820	Tracys Clothing Alterations	53.442595	-1.4700972	tailor	Church Street	osm
S36	osm_1190718485	Travellers Rest	53.4334478	-1.5362603	pub	Langsett Road South	osm
S36	osm_1155085823	Turkish Style Barber	53.4426103	-1.4704411	hairdresser	Priory Road	osm
S36	osm_6203152066	Village Garden Centre	53.4429392	-1.5027906	garden_centre		osm
S36	osm_6203084615	Village News	53.4429764	-1.5030208	convenience		osm
S36	osm_81135568	Whitley Hall Hotel	53.4495689	-1.4818737	hotel	Elliot Lane	osm
S36	osm_7342668317	WWII Bomb Crater	53.4450033	-1.5123723	bomb_crater		osm
