Using OSRM walking only — no haversine fallback; tries all mirrors until one succeeds.
Loaded 123 POIs from pois_WF2_0GU.tsv
Total: 123 POIs
Starting: 1353 candidate routes (OSRM=on)
[148s] 125/1353 | routes: 124 | skipped: 0
[149s] 126/1353 | routes: 125 | skipped: 0
[150s] 127/1353 | routes: 126 | skipped: 0
[151s] 128/1353 | routes: 127 | skipped: 0
[153s] 129/1353 | routes: 128 | skipped: 0
[154s] 130/1353 | routes: 129 | skipped: 0
[155s] 131/1353 | routes: 130 | skipped: 0
[156s] 132/1353 | routes: 131 | skipped: 0
[157s] 133/1353 | routes: 132 | skipped: 0
[159s] 134/1353 | routes: 133 | skipped: 0
[160s] 135/1353 | routes: 134 | skipped: 0
[161s] 136/1353 | routes: 135 | skipped: 0
[163s] 137/1353 | routes: 136 | skipped: 0
[164s] 138/1353 | routes: 137 | skipped: 0
[165s] 139/1353 | routes: 138 | skipped: 0
[166s] 140/1353 | routes: 139 | skipped: 0
[168s] 141/1353 | routes: 140 | skipped: 0
[169s] 142/1353 | routes: 141 | skipped: 0
[170s] 143/1353 | routes: 142 | skipped: 0
[171s] 144/1353 | routes: 143 | skipped: 0
[172s] 145/1353 | routes: 144 | skipped: 0
[173s] 146/1353 | routes: 145 | skipped: 0
[174s] 147/1353 | routes: 146 | skipped: 0
[176s] 148/1353 | routes: 147 | skipped: 0
[177s] 149/1353 | routes: 148 | skipped: 0
[178s] 150/1353 | routes: 149 | skipped: 0
[179s] 151/1353 | routes: 150 | skipped: 0
[181s] 152/1353 | routes: 151 | skipped: 0
[182s] 153/1353 | routes: 152 | skipped: 0
[183s] 154/1353 | routes: 153 | skipped: 0
[184s] 155/1353 | routes: 154 | skipped: 0
[186s] 156/1353 | routes: 155 | skipped: 0
[187s] 157/1353 | routes: 156 | skipped: 0
[188s] 158/1353 | routes: 157 | skipped: 0
[189s] 159/1353 | routes: 158 | skipped: 0
[191s] 160/1353 | routes: 159 | skipped: 0
[192s] 161/1353 | routes: 160 | skipped: 0
[193s] 162/1353 | routes: 161 | skipped: 0
[194s] 163/1353 | routes: 162 | skipped: 0
[195s] 164/1353 | routes: 163 | skipped: 0
[197s] 165/1353 | routes: 164 | skipped: 0
[198s] 166/1353 | routes: 165 | skipped: 0
[199s] 167/1353 | routes: 166 | skipped: 0
[201s] 168/1353 | routes: 167 | skipped: 0
[202s] 169/1353 | routes: 168 | skipped: 0
[203s] 170/1353 | routes: 169 | skipped: 0
[205s] 171/1353 | routes: 170 | skipped: 0
[206s] 172/1353 | routes: 171 | skipped: 0
[208s] 173/1353 | routes: 172 | skipped: 0
[209s] 174/1353 | routes: 173 | skipped: 0
[211s] 175/1353 | routes: 174 | skipped: 0
[212s] 176/1353 | routes: 175 | skipped: 0
[213s] 177/1353 | routes: 176 | skipped: 0
[215s] 178/1353 | routes: 177 | skipped: 0
[216s] 179/1353 | routes: 178 | skipped: 0
[217s] 180/1353 | routes: 179 | skipped: 0
[219s] 181/1353 | routes: 180 | skipped: 0
[220s] 182/1353 | routes: 181 | skipped: 0
[221s] 183/1353 | routes: 182 | skipped: 0
[222s] 184/1353 | routes: 183 | skipped: 0
[224s] 185/1353 | routes: 184 | skipped: 0
[225s] 186/1353 | routes: 185 | skipped: 0
[227s] 187/1353 | routes: 186 | skipped: 0
[228s] 188/1353 | routes: 187 | skipped: 0
[229s] 189/1353 | routes: 188 | skipped: 0
