Anchor Postcode,Duration (min),Route Index,Waypoints,Waypoint Count,Distance (m),Duration (sec),Duration (formatted),Polyline
WF2 0GU,10,17,Country Kitchen → Outwood Primary Academy Kirkhamgate → Country Kitchen,1,708,127,2min,sowfIhfnHIHw@v@Mc@Om@]}CE]Kq@SyACK?AOkA_@qCcAf@[yAJIKHZxAbAg@^pCNlABJRxAJp@D\\|CNl@Lb@v@w@HI
WF2 0GU,10,18,Curry Pot → Blue Marlin Fisheries → Curry Pot,1,306,71,1min,kaufIfviHYx@GReAvCg@zAGIWKVJFHJWZcAdAwCFSXy@
WF2 0GU,10,19,Cyrus Guys → St Michaels Church → Cyrus Guys,1,1312,229,3min,io{fIjbmH@u@BoD?GBaE?U@yABw@B{@Bq@Bo@FeA@SDu@y@BeAZWTUV}@p@}@f@AI{DbAGXNfANTHFFn@Go@IGOUOgAFYtA_@dBc@@H|@g@|@q@TWVUdA[x@CEt@ARGdACn@Cp@Cz@Cv@AxA?TC`E?FCnDAt@
WF2 0GU,10,20,Declans → Wrenthorpe Club → Declans,1,248,43,0min,eaxfIb`hHpA`ATN\Tj@^G^I@??WQODLu@]UUOqAaA
WF2 0GU,10,21,Driver Training Area → Cardigan House → Driver Training Area,1,8881,395,6min,qvyfIzhlH\|AtAxDbCzFbCdFbAjBb@x@bAjBnCrD|CfEjDpDxFdFfMjJzBxA`CrAtBfAtDrBtG`Dn@R~FjBlGhAdE\xDDvEOnE[hOcClImApBYzRuF^OZSPMNQNUj@{ARg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZk@Va@@OCWOMOMUIOi@w@a@So@E{Lh@qAFsFj@sInAeOdCoE`@cFJwDImE]eGaAaGiBs@W_HeDkDqBuBiAcCcB}B_BqFsDiF{DkFqEoD{DaDeE}BqDmAkBc@y@wAuCoEsJuBoF_AqCo@wA_AuCqA}DOc@}BiHwAmEQa@Uu@K]MYKWGMGKGIGIGGEEMIOKc@SEAc@e@OUGQEOEQAMAOAQ?S@O@O?GDQFWFWFOFMrAuBHKFGFGHGHGJCHAH?H?H@JD^\JNFJDLDLBPBN@N@P?P?P?P?BCvA?P@P@RDRThAf@~Br@|CnB|IrA`Gj@fCR|@x@nD
WF2 0GU,10,22,DVSA Wakefield Test Center → Silkwood Farm → DVSA Wakefield Test Center,1,266,104,1min,oetfIremH@E?C?EA_@LEBABA@CTgALo@VR\ZPaA??Q`A][WSMn@UfAABC@C@MD@^?D?BAD
WF2 0GU,10,23,East Ardsley Community Centre → Main Street Fisheries → East Ardsley Community Centre,1,643,138,2min,m}{fIzjkHNLpBd@TJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@Be@a@M??`@LCd@KA[Og@a@[Yk@c@WOQK]O_@OoAm@UKqBe@OM
WF2 0GU,10,24,East Ardsley Conservative Club → BP Manor Service Station → East Ardsley Conservative Club,1,512,106,1min,mo{fI`zkHB?d@]Ky@]cCZNJ@ZDZ@L?n@Al@AR_@f@dAOZGN_AMw@pCa@lCg@iDCQe@\C?
WF2 0GU,10,25,East Ardsley Express → Main Street Fisheries → East Ardsley Express,1,540,124,2min,uz{fI`lkHh@LTJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@Be@a@M??`@LCd@KA[Og@a@[Yk@c@WOQK]O_@OoAm@UKi@M
WF2 0GU,10,26,East Ardsley Luncheon Club → Main Street Fisheries → East Ardsley Luncheon Club,1,645,153,2min,y|{fIjlkHAKAUpBd@TJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@Be@a@M??`@LCd@KA[Og@a@[Yk@c@WOQK]O_@OoAm@UKqBe@@T@J
WF2 0GU,10,27,East Ardsley Post Office → BP Manor Service Station → East Ardsley Post Office,1,384,52,0min,_m{fIv`lHFw@`@mCv@qCDQTq@R_@f@dAOZGN_AMw@pCa@lCGv@
WF2 0GU,10,28,Esso → Toyota Vantage → Esso,1,755,197,3min,ersfIhmmHSj@QJSYHQb@iAD_@\_ABQA_@q@gAw@m@KEMGPeAHM\KHYNm@BETmADMB?BB@DYtABOTeAAECCC?ELUlACDOl@IX]JILQdALFJDv@l@TJb@Fn@OSz@Qb@[z@[x@HLH^GN
WF2 0GU,10,29,Flanshaw Lodge → The Eagle → Flanshaw Lodge,1,792,159,2min,u{sfIzrjHMa@Ee@lAiATKEWEQISGO_@t@MVIN[h@QVYRSPa@X??EBSPA@YPKHQJYJC?SBY??g@@{BAzB?f@X?RCB?XKPKJIZSRQDC??`@YRQXSPWZi@HOLW^u@FNHRDPDVUJmAhADd@L`@
WF2 0GU,10,30,Flanshaw United Reformed Church → Alverthorpe Working Mens Club → Flanshaw United Reformed Church,1,956,147,2min,k}sfIttjHe@MMBGACGESG]EBSP[RKHQJYJC?SBY?OAQCYMi@Y_@MkB]s@Oc@Kc@MGAu@YQMKKn@{DD^i@fDPLt@XF@b@Lb@J~Cl@^Lh@XXLPBN@X?RCB?XKPKJIZSRQDCF\DRBFF@LCd@L
WF2 0GU,10,31,Fusion Hair Studio → St Michaels Church → Fusion Hair Studio,1,1299,236,3min,qn{fIv`mHUABoD?GBaE?U@yABw@B{@Bq@Bo@FeA@SDu@y@BeAZWTUV}@p@}@f@AI{DbAGXNfANTHFFn@Go@IGOUOgAFYtA_@dBc@@H|@g@|@q@TWVUdA[x@CEt@ARGdACn@Cp@Cz@Cv@AxA?TC`E?FCnDT@
WF2 0GU,10,32,Gardener's Retreat Restaurant → The Malt Shovel → Gardener's Retreat Restaurant,1,1096,129,2min,ggzfIrbjH~Ai@|@_@fCgApAi@pBy@HEDChAe@d@Sf@Sj@Wh@UZId@QXOhB_AiB~@YNe@P[Hi@Tk@Vc@PC@e@RiAd@EBIDqBx@qAh@gCfA}@^_Bh@
