postcode	placeId	name	latitude	longitude	types	vicinity	source
S26	osm_1068664222	Antico	53.3611395	-1.3948081	fast_food	Stradbroke Drive	osm
S26	geograph_2837586	Arnold Avenue in Charnock Hall	53.336826	-1.420131	geograph		geograph
S26	osm_1135497333	Beautique	53.3494071	-1.4019887	hairdresser	Birley Moor Road	osm
S26	osm_1135497330	Benito's	53.349547	-1.4022872	restaurant	Birley Moor Road	osm
S26	osm_151298672	Birley Caravan Storage	53.3369595	-1.385998	caravan_site	Moor Valley	osm
S26	osm_4127989289	Birley Health Centre	53.3408372	-1.4019123	doctors	Birley Lane	osm
S26	osm_1135497322	Birley Moor Bakery	53.3499158	-1.4028291	bakery	Birley Moor Road	osm
S26	osm_503032044	Birley Moor Fire Station	53.3405911	-1.3897759	fire_station	Moor Valley	osm
S26	osm_151300722	Birley Moor Garden Centre	53.338123	-1.3867365	garden_centre	Moor Valley	osm
S26	osm_139934189	Birley Primary Academy	53.3447525	-1.4046464	school	Sheffield	osm
S26	osm_343390617	Birley Spa	53.3479187	-1.3866637	spa		osm
S26	osm_138651235	Birley Spa Primary Academy	53.3473656	-1.3892153	school	Jermyn Crescent	osm
S26	osm_23032772	Birley Wood Golf Club	53.3384857	-1.3986682	golf_course		osm
S26	osm_1135497325	Bullie Ink Tattoo Collective	53.3497786	-1.4025284	tattoo	Birley Moor Road	osm
S26	geograph_2606246	Carter Hall Lane	53.336974	-1.413522	geograph		geograph
S26	geograph_6914080	Carter Hall Road, Charnock	53.341858	-1.419613	geograph		geograph
S26	geograph_2606237	Charnock Hall Road	53.338989	-1.421153	geograph		geograph
S26	osm_141481324	Frecheville Library	53.3483086	-1.4010358	library	Smalldale Road	osm
S26	osm_1135497331	Frecheville News, Cards & Gifts	53.3495083	-1.4021709	convenience	Birley Moor Road	osm
S26	osm_5943717395	Frecheville Post Office	53.3484824	-1.4007449	post_office	Birley Moor Road	osm
S26	osm_1135497339	Golden City	53.3490892	-1.4015374	restaurant	Birley Moor Road	osm
S26	osm_154686146	Golden Plover	53.3457702	-1.3885811	pub	Spa View Road	osm
S26	osm_1104108179	GoLocal	53.3456971	-1.3881899	convenience	Spa View Road	osm
S26	osm_13342482101	Grandpa Joe's Potting Shed	53.3382524	-1.3869794	bar	Moor Valley	osm
S26	osm_1068664224	Grayson's Plumbing & Heating Supplies	53.3610756	-1.3946596	trade	Stradbroke Drive	osm
S26	osm_1135497334	Hair by Lisa	53.3493369	-1.4019081	hairdresser	Birley Moor Road	osm
S26	osm_1135497335	iVape	53.3493783	-1.4019218	e-cigarette	Birley Moor Road	osm
S26	osm_1441981498	Just 4 You	53.3609046	-1.3942393	clothes	Stradbroke Drive	osm
S26	osm_1104108180	Katie's Kafe	53.3457151	-1.3880002	cafe	Spa View Road	osm
S26	osm_1135497328	Kieu’s Nails	53.3499264	-1.4026978	beauty	Birley Moor Road	osm
S26	osm_1066386941	KPC	53.342678	-1.3966171	fast_food	Birley Moor Crescent	osm
S26	osm_1135497342	Maranto's	53.3499686	-1.4028549	fast_food	Birley Moor Road	osm
S26	osm_1135497326	Mary's Pantry	53.3497232	-1.4024412	cafe	Birley Moor Road	osm
S26	osm_1135497337	Meraki	53.3491771	-1.4017639	hairdresser	Birley Moor Road	osm
S26	osm_1066386942	New Loon Fung	53.3427499	-1.3966572	restaurant	Birley Moor Crescent	osm
S26	osm_154890105	Our Lady of Lourdes	53.344792	-1.3841229	place_of_worship		osm
S26	osm_897634879	Outwood Academy City	53.3583926	-1.3916143	school	Stradbroke Road	osm
S26	osm_1135497324	Premier Frecheville	53.3498327	-1.4026207	convenience	Birley Moor Road	osm
S26	osm_141520162	Queens Head	53.3323057	-1.395447	pub	Main Road	osm
S26	osm_119216922	Richmond Church	53.3645504	-1.4016262	place_of_worship		osm
S26	osm_146989134	Ridgeway Primary School	53.3321169	-1.3947045	school	Main Road	osm
S26	osm_141481297	Safa	53.3485284	-1.3995722	restaurant	Birley Moor Road	osm
S26	osm_143923912	Scowerdons Community Centre	53.3506914	-1.3929405	community_centre		osm
S26	osm_137423791	Shire Brook Valley	53.3517471	-1.3781783	nature_reserve		osm
S26	osm_143923921	Silkstone	53.3503953	-1.3928049	pub	Silkstone Road	osm
S26	osm_12645693709	Sleeping Giant	53.3482221	-1.386367	artwork		osm
S26	osm_154883239	Spa View Community Church	53.3459953	-1.3866121	place_of_worship	Spa View Place	osm
S26	osm_6070403315	Spa View Road Post Office	53.3456595	-1.3871981	post_office	Spa View Road	osm
S26	osm_1135497343	Speedy Gonzales	53.3500003	-1.402897	fast_food	Birley Moor Road	osm
S26	osm_141482651	St Cyprian	53.3472074	-1.4018588	place_of_worship		osm
S26	osm_154886024	St John Fisher Primary, A Catholic Voluntary Academy	53.3446968	-1.3829843	school	Spring Water Avenue	osm
S26	osm_53583534	St John the Evangelist	53.3262297	-1.3987806	place_of_worship	Sheffield	osm
S26	osm_123091016	Stradbroke Community Centre	53.3636602	-1.4004092	community_centre	Richmond Road	osm
S26	osm_124327842	Stradbroke Furnishings	53.3609547	-1.3943655	furniture	Stradbroke Drive	osm
S26	osm_6144647228	Stradbroke Post Office	53.3607498	-1.3939593	post_office, convenience	Stradbroke Drive	osm
S26	osm_124327866	Stradbroke Premier	53.3608047	-1.394044	convenience	Stradbroke Drive	osm
S26	osm_1135497344	The Admiral	53.3500457	-1.4029138	fast_food	Birley Moor Road	osm
S26	osm_139941018	The Birley	53.3486772	-1.4012461	pub	Birley Moor Road	osm
S26	osm_139934982	The Birley Academy	53.3421564	-1.4038245	school	Birley Lane	osm
S26	osm_358521079	The Co-operative Food	53.3468854	-1.3984901	convenience		osm
S26	osm_150706748	The Fairway	53.3402457	-1.3970285	pub	Birley Wood	osm
S26	osm_1135497327	The Gentlemen’s Club	53.3498989	-1.402658	hairdresser	Birley Moor Road	osm
S26	osm_52597697	The Phoenix Inn	53.3351875	-1.3989025	pub		osm
S26	osm_56188504	The Sherwood	53.3488484	-1.3999058	pub	Birley Moor Road	osm
S26	osm_124327873	The Strad	53.3603797	-1.3933536	pub	Stradbroke Drive	osm
S26	osm_146989121	The Swan	53.3303869	-1.3969074	pub	Sheffield	osm
S26	osm_1135497329	Thingymebobs	53.3496314	-1.4023192	hairdresser	Birley Moor Road	osm
S26	osm_150706746	UK Welder	53.3423403	-1.3964346	clothes	Birley Moor Crescent	osm
S26	osm_1165421255	Utopia Nails	53.3554977	-1.3954826	beauty	Linley Lane	osm
S26	geograph_2606240	View from Carter Hall Lane to Sunny Bank	53.338297	-1.408397	geograph		geograph
S26	geograph_2153380	War memorial - Hollinsend Road/Ridgeway Road junction	53.350954	-1.423245	geograph		geograph
S26	osm_132700258	WD Motors	53.3559532	-1.3952243	car_repair	Haxby Street	osm
