postcode	placeId	name	latitude	longitude	types	vicinity	source
S3	osm_11068752022	A Better Fit	53.3841419	-1.5083148	tailor	Crookes	osm
S3	osm_7100082333	A DAVE CRAWSHAW S.O.M	53.4001674	-1.5100061	driving_school		osm
S3	osm_1038038884	Admiral	53.4028232	-1.5011953	adult_gaming_centre		osm
S3	osm_1937682082	Aesthete Coffee and Kitchen	53.3940318	-1.5016791	cafe	South Road	osm
S3	osm_1274522665	Aesthete Coffee + Kitchen	53.3792383	-1.5211688	cafe	Sandygate Road	osm
S3	osm_1274522682	Alex Gage	53.3792678	-1.520986	optician	Sandygate Road	osm
S3	osm_110437460	Alexander Court	53.3810677	-1.5086825	social_facility	Lydgate Court	osm
S3	osm_1704578663	ALS Media	53.4037763	-1.5032701	toys		osm
S3	osm_91910676	Amusement Caterers	53.398507	-1.5006185	yes	Sheffield	osm
S3	osm_6288952679	Antalya Barber	53.3871867	-1.5072494	hairdresser	Northfield Road	osm
S3	geograph_6164992	Arts Tower	53.382707	-1.487311	geograph		geograph
S3	geograph_3921251	Arts Tower, Bolsover Street, Sheffield (1)	53.382617	-1.487312	geograph		geograph
S3	geograph_7158269	Arts Tower, University of Sheffield	53.382615	-1.487012	geograph		geograph
S3	osm_1069254893	A.T.V Aerials	53.4008065	-1.4977154	electronics	Langsett Road	osm
S3	osm_6288764541	Aurora	53.3843164	-1.5079798	hairdresser	Crookes	osm
S3	osm_1239474891	Ayla's	53.4027064	-1.5017194	cafe	Middlewood Road	osm
S3	osm_3820777915	Bargain Booze	53.3857934	-1.5078728	alcohol	Crookes	osm
S3	osm_59715045	Barkers Furniture	53.4001633	-1.4939099	furniture		osm
S3	osm_10222078077	Barracks Lounge	53.4017376	-1.4979578	bar		osm
S3	osm_3820777916	Baxters News	53.3860844	-1.5080459	convenience	Crookes	osm
S3	osm_7096577869	b.biscuit	53.3670978	-1.5021261	clothes		osm
S3	osm_6288952672	Beck & Co	53.3868006	-1.5075224	hairdresser	Crookes	osm
S3	osm_1705513092	Bello’s Nail	53.4019516	-1.4995024	beauty		osm
S3	osm_11088865041	Berlin Calling Bottle Shop	53.3866371	-1.5076395	alcohol	Crookes	osm
S3	osm_768165810	Bloom	53.3672891	-1.5024852	health_food		osm
S3	osm_359374768	BMI Thornbury Hospital	53.3740185	-1.5175793	hospital		osm
S3	osm_1216315937	Bogarts	53.4044879	-1.5034696	hairdresser		osm
S3	osm_16633562	Bolehill Recreation Ground	53.390212	-1.5094706	park		osm
S3	osm_1216491959	B&Q Garden Centre	53.4031881	-1.4956825	garden_centre		osm
S3	osm_6288764532	Brill Burger	53.3853244	-1.5083248	fast_food	Crookes	osm
S3	osm_1704578676	British Red Cross	53.4029867	-1.5022006	charity		osm
S3	osm_89149726	Burrows Sheffield	53.4000949	-1.488234	car		osm
S3	osm_12043083504	C & G Artpartment	53.4018504	-1.5030725	gallery		osm
S3	osm_2775010507	Cafe Masala	53.3943651	-1.5023312	cafe	South Road	osm
S3	osm_6288764540	Cafe Nort	53.3859033	-1.5078208	cafe, bakery	Crookes	osm
S3	osm_107084279	Cairn Home	53.3791936	-1.5189771	social_facility	Selborne Road	osm
S3	osm_7096577867	Capelli	53.3671958	-1.5022046	hairdresser		osm
S3	osm_89178633	CareCo	53.4004137	-1.4906831	medical_supply	Burton Street	osm
S3	osm_92061840	Carnaby Fisheries	53.3982589	-1.5005261	fast_food		osm
S3	osm_112875704	Carnall's Autocentre Ltd	53.3850236	-1.5087512	car_repair	Mulehouse Road	osm
S3	osm_1274522679	Charisma	53.3792287	-1.5200018	gift	Sandygate Road	osm
S3	osm_7120231522	Chatanoga	53.4024554	-1.5015094	fast_food	Holme Lane	osm
S3	osm_11088865038	Chinese Therapy Centre	53.3874725	-1.5070783	massage	Northfield Road	osm
S3	osm_1705513037	Choco Latte	53.4038135	-1.502947	cafe	Middlewood Road	osm
S3	osm_91795130	Christ Church Walkley	53.4014055	-1.5001056	place_of_worship		osm
S3	osm_11730286494	Churchills Dry Cleaners	53.3850586	-1.5080093	dry_cleaning	Crookes	osm
S3	osm_3084195493	Churro	53.3719388	-1.5075544	artwork		osm
S3	osm_122447575	Citroën	53.4033335	-1.4931089	car		osm
S3	osm_1274522694	City Barbers	53.3797219	-1.519641	hairdresser	Sandygate Road	osm
S3	osm_91009447	City Limits Dancentre	53.4012706	-1.4912436	dance		osm
S3	osm_5486285803	Cloud Coffee	53.3861206	-1.5080192	cafe	Crookes	osm
S3	osm_1038038880	Coffee Boo	53.4028731	-1.5014958	cafe	Middlewood Road	osm
S3	osm_1704578680	Corner News	53.4040624	-1.5036162	newsagent	Middlewood Road	osm
S3	osm_6288952675	Cravezz	53.3877223	-1.5069377	fast_food	Northfield Road	osm
S3	osm_11067339324	Crooked Cafe	53.3851665	-1.5083121	cafe	Crookes	osm
S3	osm_6288560588	Crookes Barber	53.3841307	-1.507966	hairdresser	Crookes	osm
S3	osm_6288764547	Crookes Chiropody - Podiatry	53.3841692	-1.5079698	doctors	Crookes	osm
S3	osm_6288764537	Crookes Hardware	53.3842036	-1.5079721	hardware	Crookes	osm
S3	osm_5486285796	Crookes Post Office	53.3860476	-1.5080591	post_office	Crookes	osm
S3	osm_92164728	Crookes Social Club	53.384591	-1.5127529	pub	Mulehouse Road	osm
S3	osm_1274522688	Crosspool Fishbar	53.3796331	-1.5199211	fast_food	Sandygate Road	osm
S3	osm_1274522690	Crosspool Pet Supplies	53.3795495	-1.5201341	pet	Sandygate Road	osm
S3	osm_1274522670	Crosspool Pharmacy	53.3792487	-1.5198379	pharmacy	Sandygate Road	osm
S3	osm_4212586291	Crosspool Post Office	53.3796205	-1.5205068	post_office	Sandygate Road	osm
S3	osm_1274522689	Crosspool Social	53.3795851	-1.5200462	cafe	Sandygate Road	osm
S3	osm_107084252	Crosspool Tavern	53.3800427	-1.5189824	restaurant	Manchester Road	osm
S3	osm_1314893025	Crosspool Tyre & Auto Centre	53.3790377	-1.5179872	car_repair	Selborne Road	osm
S3	osm_5486285810	Crumb	53.3857428	-1.5082332	cafe, bakery	Crookes	osm
S3	osm_11068752024	Crust at Crookes	53.3837707	-1.5079044	fast_food	Crookes	osm
S3	osm_6289039419	Da Vincis Pizza	53.3945214	-1.5021702	fast_food	South Road	osm
S3	osm_5486285787	Dana	53.3860136	-1.5077579	cafe	Crookes	osm
S3	osm_7100300377	Dawson's Fishing Tackle	53.4016776	-1.5042499	fishing		osm
S3	osm_6288560585	Day Lewis Pharmacy	53.3838682	-1.507931	pharmacy	Crookes	osm
S3	osm_1704578685	Denture Care	53.4032831	-1.5026604	dentist		osm
S3	geograph_3921255	Detail of Arts Tower, Bolsover Street, Sheffield	53.382706	-1.487161	geograph		geograph
S3	osm_10067615030	Diveworld	53.4008563	-1.5063598	scuba_diving	Holme Lane	osm
S3	osm_1704578693	Dress 2 Impress	53.4043083	-1.5037513	clothes		osm
S3	osm_1274522667	Dynasty	53.379529	-1.5193747	fast_food	Sandygate Road	osm
S3	osm_8890511760	Eataly	53.4018727	-1.4999682	restaurant	Langsett Road	osm
S3	osm_1282049208	Ecclesall Motor Company	53.4001081	-1.5113281	car	Holme Lane	osm
S3	osm_1274522696	Ellie's	53.3797613	-1.5195253	cafe	Sandygate Road	osm
S3	osm_22928369	Endcliffe Park	53.3683799	-1.5104493	park		osm
S3	osm_53537786	Endcliffe Park Cafe	53.3686393	-1.5077313	cafe		osm
S3	osm_9670862742	Endcliffe Park Toad	53.3687928	-1.5065709	artwork		osm
S3	osm_5782850047	Endcliffe Wheel Marker Post	53.3681976	-1.5039584	memorial		osm
S3	osm_1274522693	Enhance	53.3797667	-1.5194509	hairdresser	Sandygate Road	osm
S3	osm_59711542	Enver's Bar and Grill	53.4005736	-1.4975044	restaurant	Langsett Road	osm
S3	osm_89178620	Euro Car Parts	53.4008266	-1.490975	car_parts		osm
S3	osm_122447568	Evans Halshaw Renault	53.4036792	-1.4936824	car		osm
S3	osm_1038038888	Eves Fruit Stores	53.4033903	-1.5023887	greengrocer	Middlewood Road	osm
S3	osm_1704578694	EW Pearson and Sons	53.4037232	-1.5032102	butcher	Middlewood Road	osm
S3	osm_1274522678	Expert Barbers	53.3792458	-1.5199516	hairdresser	Sandygate Road	osm
S3	osm_1704578696	F Funks	53.4040376	-1.5035885	butcher	Middlewood Road	osm
S3	osm_9532315071	Falafel House	53.3666039	-1.5066856	fast_food	Rustlings Road	osm
