Postcode	Duration (min)	Route Index	Name	Description	Waypoint Count	Waypoint 1	Waypoint 2	Waypoint 3	Distance (m)	Duration (sec)	Polyline	Actual Duration (min)	Timing source
WF2 0GU	60	1			2	West Yorkshire Police Learning & Development Centre (WF2 0GU)	Driver Training Area (WF2 0GU)		17763	13322	kzyfId}kHj@fCR|@vAlGtAxDbCzFbCdFbAjBb@x@bAjBnCrD|CfEjDpDxFdFfMjJzBxA`CrAtBfAtDrBtG`Dn@R~FjBlGhAdE\xDDvEOnE[hOcClImApBYzRuF^OZSPMNQNUj@{ARg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZk@Va@@OCWOMOMUIOi@w@a@So@E{Lh@qAFsFj@sInAeOdCoE`@cFJwDImE]eGaAaGiBs@W_HeDkDqBuBiAcCcB}B_BqFsDiF{DkFqEoD{DaDeE}BqDmAkBc@y@wAuCoEsJuBoF_AqCo@wA_AuCqA}DOc@}BiHwAmEQa@Uu@K]MYKWGMGKGIGIGGEEMIOKc@SEAc@e@OUGQEOEQAMAOAQ?S@O@O?GDQFWFWFOFMrAuBHKFGFGHGHGJCHAH?H?H@JD^\JNFJDLDLBPBN@N@P?P?P?P?BCvA?P@P@RDRThAf@~Br@|CnB|INn@nBxIR|@x@nD\|AtAxDbCzFbCdFbAjBb@x@bAjBnCrD|CfEjDpDxFdFfMjJzBxA`CrAtBfAtDrBtG`Dn@R~FjBlGhAdE\xDDvEOnE[hOcClImApBYzRuF^OZSPMNQNUj@{ARg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZk@Va@@OCWOMOMUIOi@w@a@So@E{Lh@qAFsFj@sInAeOdCoE`@cFJwDImE]eGaAaGiBs@W_HeDkDqBuBiAcCcB}B_BqFsDiF{DkFqEoD{DaDeE}BqDmAkBc@y@wAuCoEsJuBoF_AqCo@wA_AuCqA}DOc@}BiHwAmEQa@Uu@K]MYKWGMGKGIGIGGEEMIOKc@SEAc@e@OUGQEOEQAMAOAQ?S@O@O?GDQFWFWFOFMrAuBHKFGFGHGHGJCHAH?H?H@JD^\JNFJDLDLBPBN@N@P?P?P?P?BCvA?P@P@RDRThAf@~Br@|CnB|IrA`G	222	OSRM
WF2 0GU	60	1			2	Tardis (WF2 0GU)	The Malt Shovel (WF2 0GU)		4284	3213	}hzfIdjjHs@xAWk@[u@`@eBV{@p@m@d@SjBo@|@_@fCgApAi@pBy@HEDChAe@d@Sf@Sj@Wh@UZId@QEo@?_@BYDc@FYJa@R_@PS^YjBcAj@YPIrBkAnB_APIJf@@L?LENc@n@W`@W`@SXo@jASZ}@dBgBjD{@xAw@~@}EnHOTa@n@J`@BNDV?L?PG`BAP?P?P?P@RJfDi@NG_BIgCAYAOEECAEHIJKNCD@^FxBDrB@f@DRDF??BBJCJAFABG?IEmAh@OKgDAS?Q?Q?Q@QFaB?Q?MEWOIGCI?ODeCnDg@h@g@b@cAp@iB`ASJIDGHIHEHCHYlA?BOt@ETELEHGJcBvBGHIHIDIBIBI@K?OAEAc@e@OUGQEOEQAMAOAQ?S@O@O?GDQFWFWFOFMrAuBHKFGFGHGHGJCHAH?H?H@JDt@NZLPBLBR@NANCLEJGZSjAy@`A_A`AkAb@o@pB}CbCqDFM^_AVe@L_@FYDY@W@YAYMoAe@P[Hi@Tk@Vc@PC@e@RiAd@EBIDqBx@qAh@gCfA}@^kBn@e@Rq@l@Wz@a@dBZt@Vj@r@yA	53	OSRM
WF2 0GU	15	1			2	The Malt Shovel (WF2 0GU)	Gardener's Retreat Restaurant (WF2 0GU)		1207	905	sqyfI`riHDz@BnBk@Vc@PC@e@RiAd@EBIDqBx@qAh@gCfA}@^_Bh@KDe@Rq@l@Wz@a@dBIf@Hg@`@eBV{@p@m@d@SjBo@|@_@fCgApAi@pBy@HEDChAe@d@Sf@Sj@WCoBE{@	15	OSRM
WF2 0GU	10	1			2	Sun Bo (WF2 0GU)	Kylies Sandwich Bar & Custom Cakes (WF2 0GU)		860	645	ofufIr}iHFGHILSFHRTdAwCFSb@~@Zn@JSFSGEe@w@CEh@|@FDGRKR[o@c@_AGReAvCg@zAg@|AMZM\]v@_@~@Qf@GLZl@P[QZ[m@FMp@gB\w@L]L[f@}Af@{ASUGIMRIHGF	10	OSRM
WF2 0GU	10	1			2	BP Manor Service Station (WF2 0GU)	Restyle Fitness (WF2 0GU)		906	680	sm{fId{kHKo@CQKy@]cCZNJ@ZDZ@L?n@Al@AR_@f@dAOZGN_AMw@pCa@lCg@iDCQKy@]cCZNJ@Be@a@MZJD@Cd@ZDZ@L?n@Al@AUp@EPw@pCa@lC[yB	11	OSRM
WF2 0GU	10	1			2	The Wren Cafe (WF2 0GU)	The New Pot Oil (WF2 0GU)		962	722	uwvfIvphHFSTm@n@eBX}@\yAQUu@w@WQEr@Qb@Wp@ELQb@Sj@K^qAdFIREHG@I?ECKIU]g@w@KMo@WYMQKQn@I^A@Mz@o@|DFHf@TzB^b@DTCHANEHCNE^MXSNSLUV}@DKx@oD	12	OSRM
WF2 0GU	15	1			2	Outwood Primary Academy Kirkhamgate (WF2 0GU)	The Star Inn (WF2 0GU)		1094	820	sowfIhfnHIHw@v@Mc@Om@]}CE]Kq@SyACKOmA_@qCcAf@[yAJIKHZxAbAg@^pCNjA?@BJRxAJp@D\\|CNl@Lb@yAzAi@l@ORs@aAKMAu@F]?IOs@Nr@?HG\@t@~@nANSh@m@xA{Av@w@HI	13	OSRM
WF2 0GU	5	1			2	Blue Marlin Fisheries (WF2 0GU)	Mill View Stores (WF2 0GU)		639	479	kaufIfviHYx@GReAvC[bAKVGIWKVJFHf@{AdAwCFSb@~@Zn@BHRb@HTNVLVLVNr@DRj@Sk@RUgAMWMWOWIUSc@CI[o@c@_AXy@	7	OSRM
WF2 0GU	20	1			2	St Michaels Church (WF2 0GU)	R H Binks And Sons (WF2 0GU)		1816	1362	io{fIjbmH@u@BoD?GBaE?U@yABw@B{@Bq@Bo@FeA@SDu@y@BeAZWTUV}@p@}@f@AIeBb@uA^GXNfANTHFFn@Go@IGOUOgAFYzDcA@H|@g@|@q@TWVUdA[x@CLiAFy@NaB`@mCv@qCDQTq@R_@f@dAWj@_AMw@pCa@lCWzCMhAEt@ARGdACn@Cp@Cz@Cv@AxA?TC`E?FCnDAt@	22	OSRM
WF2 0GU	10	1			2	Wrenthorpe Club (WF2 0GU)	The Lawrence (WF2 0GU)		856	642	eaxfIb`hHpA`ATN\Tj@^G^I@??WQODLu@]UUO_CeB_@h@CBW^uA~BmAtBKPe@iAIUEO?O@OBSZm@DED@HNIOEAED[l@CRAN?NDNHTLZVl@JQlAuBtA_CV_@BC^i@l@b@	10	OSRM
