postcode	placeId	name	latitude	longitude	types	vicinity	source
S1	geograph_5058003	14 'Birdy' - Sheffield Town Hall	53.380114	-1.470054	geograph		geograph
S1	osm_93509091	151 Statement Living	53.3670203	-1.4700985	furniture	Alderson Road North	osm
S1	osm_6362462808	1554 Cafe	53.383406	-1.4695007	cafe	Church Street	osm
S1	osm_9445222983	1864 and 2007 Sheffield Flood High Water Marks	53.3885683	-1.4716786	memorial		osm
S1	osm_11349930755	192 Bar	53.3739124	-1.4680126	bar		osm
S1	osm_3645952212	1986 The Kebab Kafe	53.3868117	-1.4631693	fast_food	Wicker	osm
S1	osm_6331369629	1st Choice	53.386584	-1.462824	hairdresser_supply	Wicker	osm
S1	osm_175726524	1st Choice Hair Cutz	53.361445	-1.478996	hairdresser	Abbeydale Road	osm
S1	osm_200223328	200 degree Coffee	53.3799896	-1.473284	cafe	Division Street	osm
S1	osm_286735027	2323.0	53.3810632	-1.468446	cafe	Norfolk Row	osm
S1	osm_1039105470	284 Hair	53.3714262	-1.4891715	hairdresser	Ecclesall Road	osm
S1	osm_3920953530	35.0	53.3819556	-1.4675165	art	Chapel Walk	osm
S1	osm_5456387788	400 Degree Celsius	53.3828095	-1.4654358	restaurant	Castle Square	osm
S1	osm_1075359629	418 Store	53.3685871	-1.4979045	tobacco	Ecclesall Road	osm
S1	osm_339930105	420 Degrees Coffee	53.3866065	-1.4959928	cafe	Barber Road	osm
S1	osm_1080642674	50% Sweet Cafe	53.3775198	-1.50047	bakery	Fulwood Road	osm
S1	osm_1211564317	5A Tyres	53.3885213	-1.4615856	tyres	Walker Street	osm
S1	osm_6457887780	5Tara/Overnight	53.3802437	-1.4563544	restaurant	Duke Street	osm
S1	osm_1038804152	7 Hills	53.3713971	-1.4880918	convenience	Ecclesall Road	osm
S1	osm_1038804153	7 Seas	53.3713407	-1.4881306	restaurant	Ecclesall Road	osm
S1	osm_10249659807	7 Spices Balti	53.3862105	-1.4707706	restaurant	Gibraltar Street	osm
S1	osm_1164518819	88 Hair Studio	53.3766226	-1.4997528	hairdresser	Glossop Road	osm
S1	osm_1355345160	911 Auto Repairs	53.3910572	-1.4722211	car_repair	Mowbray Street	osm
S1	osm_1132995544	A & A Second Hand	53.3670532	-1.4755441	second_hand	London Road	osm
S1	osm_6264064097	A Cut Above	53.3947604	-1.489099	hairdresser		osm
S1	osm_95252720	A Different Gear	53.3582026	-1.4717138	bicycle	Thirlwell Road	osm
S1	osm_9820710517	A & G Passenger Boats Ltd	53.3853609	-1.4581283	gift, attraction		osm
S1	osm_11115340980	A Little M-Tea	53.3804989	-1.48095	cafe		osm
S1	osm_7096559168	A Month of Sundays	53.367123	-1.5000993	gallery		osm
S1	osm_11232419446	Aaliyah Fashion & Beauty	53.3905402	-1.4593695	clothes		osm
S1	osm_175779761	Abbey Kitchen	53.3602479	-1.4791834	cafe	Abbeydale Road	osm
S1	osm_242719807	Abbeydale Bakery & Breakfast	53.3633952	-1.4775222	fast_food	Abbeydale Road	osm
S1	osm_13361690136	Abbeydale Ballroom	53.3594135	-1.4796331	bar	Abbeydale Road	osm
S1	osm_134387726	Abbeydale MOT Centre	53.3589933	-1.4799909	car_repair		osm
S1	osm_60613007	Abbeyfield Park	53.4000104	-1.4635805	park		osm
S1	osm_24326499	Abbeyfield Primary Academy	53.4024592	-1.4633182	school	Orphanage Road	osm
S1	osm_6314038722	absolutely scooters	53.3948678	-1.4785181	motorcycle		osm
S1	osm_1211579653	Abu Adam's	53.3878417	-1.462076	restaurant	Wicker	osm
S1	osm_7946164253	Acces Techniques	53.3718485	-1.4669582	sports_centre	Edmund Road	osm
S1	osm_1206478391	Accident Repair Centre	53.3852416	-1.4756064	car_repair		osm
S1	osm_13382385312	Acid House Coffee	53.3811278	-1.4828458	cafe		osm
S1	osm_1032650296	Active Health	53.3704333	-1.4921026	clinic		osm
S1	osm_339931579	Adams	53.3872687	-1.4977833	convenience		osm
