postcode	placeId	name	latitude	longitude	types	vicinity	source
S4	osm_101992058	Aaliyah Mosque	53.3914475	-1.4326618	place_of_worship		osm
S4	osm_1116577912	Accelerate	53.3936178	-1.4327333	sports	Attercliffe Road	osm
S4	osm_1116577913	Adept Afro Hair & Beauty	53.3935303	-1.4327824	hairdresser	Attercliffe Road	osm
S4	osm_110568418	AFP Motorhomes	53.3987207	-1.4379803	rental	Brightside Lane	osm
S4	osm_9804404315	All Days	53.400645	-1.4547437	convenience	Scott Road	osm
S4	osm_1130075895	Anvil	53.3968759	-1.4389557	artwork		osm
S4	osm_1116344113	Ao Thai Massage	53.3930692	-1.4333546	massage	Attercliffe Road	osm
S4	osm_1120801574	Attercliffe News & Booze	53.3933085	-1.4326323	convenience	Attercliffe Road	osm
S4	osm_11251894069	Attercliffe Spice	53.3920751	-1.4343525	fast_food	Staniforth Road	osm
S4	osm_119967981	Awesome Walls Sheffield	53.3992602	-1.4467377	sports_centre	Garter Street	osm
S4	osm_1214615924	Baltic Pearl	53.3923683	-1.4354461	convenience	Attercliffe Road	osm
S4	osm_11220267128	Beauty Beneath	53.392979	-1.4329422	hairdresser	Attercliffe Road	osm
S4	osm_1231769965	Bit Of Everything	53.3918814	-1.4336009	houseware	Staniforth Road	osm
S4	osm_125104638	Busk Meadow Park	53.4108923	-1.4700784	park		osm
S4	osm_110568405	City Motor Factors	53.3989639	-1.437904	car_parts	Brightside Lane	osm
S4	osm_751925534	Colourcraft Limited	53.4013666	-1.4403809	art_supplies	Carlisle Steet East	osm
S4	osm_289465061	Corner Cabin	53.4041258	-1.4442209	convenience		osm
S4	osm_22414373	Crabtree Ponds	53.404763	-1.4585328	nature_reserve		osm
S4	geograph_3914623	Crushing mill, Kelham Island, Sheffield	53.389203	-1.472197	geograph		geograph
S4	osm_125556842	E-ACT Parkwood Academy	53.4119518	-1.4850581	school	Longley Avenue West	osm
S4	osm_1130076276	Eye of Needle	53.3970913	-1.4389154	artwork		osm
S4	osm_26422052	Fir Vale Academy	53.4067072	-1.4481071	school	Owler Lane	osm
S4	osm_123527433	Fir Vale Pharmacy	53.4082962	-1.4480188	pharmacy	Hinde House Lane	osm
S4	osm_1365340090	Flue Supplies	53.3988777	-1.4474375	hardware	Fieldhouse Way	osm
S4	osm_1154584608	Global Hair & Beauty	53.4071434	-1.4521944	hairdresser	Barnsley Road	osm
