postcode	placeId	name	latitude	longitude	types	vicinity	source
S8	osm_104313742	146th Sheffield Old Norton	53.3405352	-1.4640297	community_centre		osm
S8	osm_1037398685	A.E Hartley & Son	53.3450202	-1.4459002	convenience	Blackstock Road	osm
S8	osm_104299796	AVS Superstore	53.3514618	-1.4444895	convenience	Leighton Road	osm
S8	osm_176381208	Bamboo Garden	53.3369627	-1.4934188	fast_food	Hutcliffe Wood Road	osm
S8	osm_122727647	Bankwood Primary School	53.3521924	-1.4502087	school	Bankwood Close	osm
S8	osm_5982190118	Barber & Sun	53.3281891	-1.4740534	hairdresser		osm
S8	osm_176381217	Barretts	53.3365383	-1.493151	restaurant		osm
S8	osm_118083246	Beauchief Abbey	53.3331929	-1.5008362	place_of_worship		osm
S8	osm_364826549	Beauchief Baptist Church	53.3372649	-1.4943349	place_of_worship	Hutcliffe Wood Road	osm
S8	osm_118398308	Beauchief Golf Club	53.3324652	-1.5014748	golf_course	Abbey Lane	osm
S8	osm_127513639	Beauchief Tennis Club	53.3295413	-1.4937157	sports_centre		osm
S8	osm_176381209	Bespoke Blinds é Poles	53.3366259	-1.4931928	doityourself		osm
S8	osm_360971623	Chantrey Obelisk	53.3345938	-1.4619415	monument		osm
S8	osm_360941718	China Delight	53.3280136	-1.4739677	restaurant	Meadow Head	osm
S8	osm_608751086	Constable Road Post Office	53.3403938	-1.4497882	post_office	Constable Road	osm
S8	osm_360941711	Crusty Cob...	53.3282188	-1.4740657	deli		osm
S8	osm_360941716	Dry Cleaners & Launderette	53.3281104	-1.4740103	dry_cleaning		osm
S8	osm_360941717	Ferdinando's	53.3280501	-1.4739825	restaurant	Meadow Head	osm
S8	osm_176381212	Flint & Flint Dental Surgeons	53.3362213	-1.4930839	dentist		osm
S8	osm_176381213	Forge Bakehouse	53.3372133	-1.4935595	bakery	Hutcliffe Wood Road	osm
S8	osm_70388590	Graves Health and Sports Centre	53.3281384	-1.4647674	sports_centre		osm
S8	osm_80929182	Graves Park Animal Farm	53.338292	-1.4630903	zoo		osm
S8	osm_123407279	Graves Park Pitch & Putt	53.3338739	-1.4765599	golf_course	Charles Ashmore Road	osm
S8	osm_118075405	Handsome Hare	53.3372979	-1.4936215	cafe, hairdresser	Hutcliffe Wood Road	osm
S8	osm_360949156	Hasina's Special Balti House	53.327889	-1.4746395	fast_food	Meadowhead	osm
S8	osm_81135435	Holy Cross, Gleadless Valley Church	53.3515311	-1.4455837	place_of_worship	Spotswood Mount	osm
S8	osm_12115779599	Little Mesters	53.3277964	-1.47459	pub		osm
S8	osm_176381210	McColl's	53.3368499	-1.4932976	convenience	Hutcliffe Wood Road	osm
S8	osm_176381214	Medical Money Management	53.3365764	-1.4931671	bureau_de_change		osm
S8	geograph_5054442	Millmount Road, Sheffield	53.353916	-1.481046	geograph		geograph
S8	osm_360946528	Mitchell's Wines	53.3277549	-1.4745686	alcohol		osm
S8	osm_123815769	Mossbrook School	53.3296148	-1.4612785	school	Bochum Parkway	osm
S8	osm_1234767968	Mossbrook School - Chancet Site	53.3326917	-1.4822366	school		osm
S8	osm_121635675	Norton Free Church of England Primary School	53.3365547	-1.4577125	school	Matthews Lane	osm
S8	osm_360971628	Norton House Country Club	53.3342653	-1.46167	social_club	Norton Lane	osm
S8	osm_31134271	Oakes Park	53.3346539	-1.452551	park		osm
S8	osm_107606691	Our Lady of Beauchief and Thomas of Canterbury	53.337728	-1.4821685	place_of_worship		osm
S8	osm_360498961	Painted Fabrics	53.3298095	-1.4728465	memorial		osm
S8	osm_176381215	Poppy's	53.3366662	-1.4932091	florist		osm
S8	osm_176381216	Pure	53.3371343	-1.4934988	hairdresser		osm
S8	osm_104312092	Rose Garden Cafe	53.3381358	-1.4672262	cafe	Graves Park	osm
S8	osm_176381218	Sankeys	53.3367145	-1.4932346	cafe		osm
S8	osm_1037398691	Sisi Pizza	53.3449902	-1.4461376	fast_food	Blackstock Road	osm
S8	osm_12942449170	Sophie's Cakes and Coffee	53.3331957	-1.4755259	cafe		osm
S8	osm_123387454	St Thomas of Canterbury School	53.3333846	-1.4818426	school	Chancet Wood Drive	osm
S8	osm_360949154	Sunset Pizza	53.3278477	-1.4746164	fast_food	Meadow Head	osm
S8	osm_70387533	The Church of Jesus Christ of Latter-day Saints	53.3296127	-1.4635377	place_of_worship	Jordanthorpe Parkway	osm
S8	osm_70387662	The Church of St. James the Great, Norton	53.3352333	-1.4627516	place_of_worship	Sheffield	osm
S8	osm_111841058	The Horse and Groom	53.3499914	-1.4498218	pub		osm
S8	osm_360949158	The Lime Lounge Cafe	53.3279987	-1.474688	cafe	Meadow Head	osm
S8	osm_119678792	The Nailmakers Arms	53.3399007	-1.4521817	pub	Backmoor Road	osm
S8	osm_367046198	The Sloan Practice	53.3400344	-1.4511407	doctors	Blackstock Road	osm
S8	osm_3636000750	Waggon and Horses Car Rental	53.3335582	-1.4792928	car_rental		osm
S8	osm_1037398692	Wang Bao	53.3449795	-1.4462219	fast_food	Blackstock Road	osm
S8	osm_119675713	Water Tower	53.3392662	-1.4551288	pub	Hemsworth Road	osm
S8	osm_360941677	Wraggy's Fish and chips	53.3296308	-1.4756654	fast_food	Meadow Head	osm
S8	osm_1037398700	Zippys Sandwich Bar	53.3448269	-1.4457609	fast_food	Blackstock Road	osm
