postcode	placeId	name	latitude	longitude	types	vicinity	source
S5	osm_1242591244	2nd Time Around	53.4187584	-1.4467826	clothes	Bellhouse Road	osm
S5	osm_1242585576	7 Hills Blinds	53.4188323	-1.4475842	window_blind	Sicey Avenue	osm
S5	osm_1058162420	A1 Immigration Services	53.408998	-1.4475843	social_facility	Page Hall Road	osm
S5	osm_1222627283	Abbeymoor Veterinary Centres	53.4210664	-1.4922881	veterinary	Halifax Road	osm
S5	osm_1222627290	Ace Domestics	53.4213262	-1.492073	appliance	Halifax Road	osm
S5	osm_1058162417	A.D Hairdressing	53.4088015	-1.4478735	hairdresser	Page Hall Road	osm
S5	osm_8378842015	Air Raid Night	53.4168026	-1.4291303	artwork		osm
S5	osm_127886464	Al Mahdi Centre	53.4131854	-1.4444472	community_centre		osm
S5	osm_9806979754	Albatross	53.4190294	-1.4476859	fast_food	Sicey Avenue	osm
S5	osm_1242591246	Alex Barbers	53.4188158	-1.4466725	hairdresser	Bellhouse Road	osm
S5	osm_1242333268	Allied Pharmacy - Firth Park Road	53.4179818	-1.446763	pharmacy	Firth Park Road	osm
S5	osm_1189425313	Ameen	53.4065513	-1.4349821	fast_food	Upwell Street	osm
S5	osm_1282842306	Amigo's	53.4195378	-1.4465485	convenience	Bellhouse Road	osm
S5	osm_1242333281	Arabian Taste	53.4181668	-1.4473225	restaurant	Firth Park Road	osm
S5	osm_1058162415	Arslan´s Barber Shop	53.4090248	-1.4481399	hairdresser	Page Hall Road	osm
S5	osm_1065980748	Azade Mini Market	53.4095467	-1.4476058	convenience	Firth Park Road	osm
S5	osm_9806979726	B & K Mistry	53.418136	-1.4485683	newsagent	Firth Park Road	osm
S5	osm_1058162413	Babas Travel & Services	53.4089326	-1.448086	travel_agency	Page Hall Road	osm
S5	osm_1065980742	Baghdad	53.4092523	-1.4476701	convenience	Page Hall Road	osm
S5	osm_9807118816	Bargain Beds Centre	53.4187098	-1.4482065	bed	Sicey Avenue	osm
S5	osm_132977015	Bean n Gone	53.4182942	-1.480048	cafe	Southey Green Road	osm
S5	osm_1242585569	Beauty Diamond Nails	53.419052	-1.4471549	beauty	Bellhouse Road	osm
S5	osm_299855896	Bellhouse Road W.M.C.	53.4280608	-1.4419099	working_mens_club		osm
S5	osm_107453873	Béres	53.4116477	-1.4961246	butcher	Rawson Spring Road	osm
S5	osm_1241467462	Best-one	53.4317049	-1.4513749	convenience		osm
S5	osm_1058162418	Boldspirit Enterprise Ltd	53.4087755	-1.4478167	supermarket	Page Hall Road	osm
S5	osm_1222627289	Boss Barbers	53.421272	-1.4921528	hairdresser	Halifax Road	osm
S5	osm_9806979760	Boyes	53.4191558	-1.4482011	department_store	Sicey Avenue	osm
S5	osm_7166108646	Brightside Colliery Memorial Wheel	53.4103528	-1.425911	memorial		osm
S5	osm_26008410	Brightside Recreation Ground	53.4129904	-1.4233833	park		osm
S5	osm_1112590014	Brook Bakery	53.4242989	-1.449933	bakery	Hatfield House Lane	osm
S5	osm_1148906996	Buchanan Barber's	53.4261772	-1.4836771	hairdresser	Buchanan Road	osm
S5	osm_1148907000	Buchanan Convenience Store	53.4262765	-1.4843241	convenience	Buchanan Road	osm
S5	osm_1467329141	Budgens	53.4205983	-1.4873605	convenience	Wordsworth Drive	osm
S5	osm_132977010	Cafe Express	53.4189768	-1.4809991	cafe	Southey Hill	osm
S5	osm_305624914	Canton House	53.4243336	-1.4641023	fast_food		osm
S5	osm_1242585573	Champion Barbers	53.4191802	-1.4468607	hairdresser	Bellhouse Road	osm
S5	osm_142410767	Chaucer School	53.426828	-1.4887187	school	Wordsworth Avenue	osm
S5	osm_1044043913	China Wok	53.4129411	-1.4724503	restaurant	Herries Road	osm
S5	osm_25354274	Church On the Corner	53.4216226	-1.4689506	place_of_worship		osm
S5	osm_13064029302	Clifton Trade Bathrooms	53.4114161	-1.4975425	bathroom_furnishing		osm
S5	geograph_1078488	Clock Tower Entrance, Northern General Hospital, Sheffield	53.411241	-1.455677	geograph		geograph
S5	geograph_1078483	Clock Tower, Northern General Hospital, Sheffield	53.41133	-1.455676	geograph		geograph
S5	osm_147586716	Colley Road Post Office	53.4316007	-1.4591462	post_office	Colley Road	osm
S5	osm_26011424	Concord Junior Academy	53.4200778	-1.429603	school	Fife Street	osm
S5	osm_22939504	Concord Park	53.4298053	-1.4305838	park		osm
S5	osm_27237266	Concord Park Golf Club	53.4274778	-1.4321684	golf_course		osm
S5	osm_71868321	Concord Sport Centre	53.4230573	-1.43927	sports_centre		osm
S5	osm_132678871	Cookson Park	53.4162438	-1.4890418	park		osm
S5	osm_1148907002	Corner Cafe and Restaurant	53.4263561	-1.4845587	cafe	Buchanan Road	osm
S5	osm_1112590006	Costa Rica Pizza	53.4243786	-1.4492425	fast_food	Hatfield House Lane	osm
S5	osm_1242591250	Crunchy Pizza & Burger	53.4190112	-1.4465158	fast_food	Bellhouse Road	osm
S5	osm_1044043915	Days To Remember	53.4129035	-1.4726523	gift	Herries Road	osm
S5	osm_1149303940	DDS Domestic	53.4173909	-1.4723292	appliance	Southey Avenue	osm
S5	osm_305635101	Dental Surgeon	53.4246534	-1.449005	dentist		osm
S5	osm_791466665	Devonshire Arms	53.4127407	-1.4710471	pub	Herries Road	osm
S5	osm_7231402924	Dining Room	53.4117878	-1.4564261	restaurant		osm
S5	osm_13064022602	Dulux Decorator Centre	53.41125	-1.4974525	paint		osm
S5	osm_25354146	E-ACT Pathways Academy	53.4142476	-1.4712352	school	Raisen Hall Road	osm
S5	osm_9057481511	Earl Marshall Guest House	53.4059033	-1.4388297	guest_house	Grimesthorpe Road	osm
S5	osm_13064029201	Easy Bathrooms	53.4109192	-1.4976126	bathroom_furnishing		osm
S5	osm_10133721346	Ecco Cafe	53.4319076	-1.45902	cafe	High Greave	osm
S5	osm_147586717	Ecco Tap Bar	53.4318608	-1.4590368	pub	High Greave	osm
S5	osm_1222838229	eCloud	53.4202858	-1.4933221	e-cigarette	Southey Green Road	osm
S5	osm_1222627281	Eden Mobility	53.4219851	-1.4919254	furniture	Halifax Road	osm
S5	osm_1148906997	E.F. Derbyshire DIY	53.4262089	-1.4838247	doityourself	Buchanan Road	osm
S5	osm_279039708	Ellerton Convenience	53.4127788	-1.4511062	convenience		osm
S5	osm_136884752	Elm Lane Fire Station	53.4214352	-1.4595888	fire_station	Elm Lane	osm
S5	osm_7130731805	Elm Lane Post Office	53.4215214	-1.4610317	post_office	Elm Lane	osm
S5	osm_305633199	Elm Lane Surgery	53.4217676	-1.45973	doctors		osm
S5	osm_1047620253	Eric Eyre	53.4225934	-1.4547601	funeral_directors	Barnsley Road	osm
S5	osm_1149303943	Everest Express	53.4163958	-1.4709668	fast_food	Southey Avenue	osm
S5	osm_1047620251	Family Shopper	53.4228497	-1.4547161	convenience	Barnsley Road	osm
S5	osm_9806979732	Ferdous	53.4182346	-1.448943	convenience	Firth Park Road	osm
S5	osm_283468335	Field Library	53.413003	-1.428086	library		osm
S5	osm_22939330	Firth Park	53.4153133	-1.4472612	park		osm
S5	osm_282374205	Firth Park Clinic	53.4192285	-1.4478876	doctors		osm
S5	osm_9806979717	Firth Park Convenience Store	53.4184692	-1.4498869	convenience	Stubbin Lane	osm
S5	osm_1242333286	Firth Park Dental	53.4178502	-1.4464314	dentist	Firth Park Road	osm
S5	osm_1242591252	Firth Park Fish and Chicks	53.4190632	-1.4464343	fast_food	Bellhouse Road	osm
S5	osm_135461304	Firth Park Library	53.4178339	-1.4483669	library		osm
S5	osm_135461294	Firth Park Methodist Church	53.4185995	-1.4484299	place_of_worship	Stubbin Lane	osm
S5	osm_9806979730	Firth Park Mini Market	53.4181997	-1.4488105	convenience	Firth Park Road	osm
