postcode	placeId	name	latitude	longitude	types	vicinity	source
S9	osm_206103119	39 Desserts	53.4012914	-1.4138412	confectionery	Valley Centertainment	osm
S9	osm_1122291440	Ace Janitorial Supplies	53.3942337	-1.4314554	trade	Attercliffe Road	osm
S9	osm_106554946	Acliffe Garage	53.403367	-1.4185506	car_repair	Attercliffe Common	osm
S9	osm_29353834	Acres Hill Community Primary School	53.3803573	-1.417611	school	Sheffield	osm
S9	osm_277034713	Adult & Community Training	53.3899858	-1.4174831	school		osm
S9	osm_106300876	A.F. Dobson	53.3867261	-1.4109433	furniture	Main Road	osm
S9	osm_1144969033	Ahmad	53.3864374	-1.4122908	hairdresser	Staniforth Road	osm
S9	osm_1144887914	Al Madina Fashion	53.3866613	-1.411476	clothes	Main Road	osm
S9	osm_106125057	Al-Huda Academy	53.3883078	-1.4259568	place_of_worship		osm
S9	osm_1144152437	All Colours Tattoo	53.3860621	-1.4106735	tattoo	Main Road	osm
S9	osm_1428085353	Al-Shafeey Centre	53.3881722	-1.4193465	place_of_worship		osm
S9	osm_108732632	Amana Bazaar	53.3870814	-1.4155615	convenience	Staniforth Road	osm
S9	osm_1144969036	Angel's	53.3864517	-1.4124554	beauty	Staniforth Road	osm
S9	osm_1120801575	Appliance Centre	53.3933833	-1.4324949	appliance	Attercliffe Road	osm
S9	osm_106554954	Arena Motor Services	53.4022714	-1.4167506	car_repair	Clifton Street	osm
S9	osm_106300880	Aries Lighting	53.3862153	-1.4098726	lighting	Main Road	osm
S9	osm_1079984271	Aroma	53.3796268	-1.4180982	fast_food	Mather Road	osm
S9	osm_1301121253	Arrow Self Drive	53.402426	-1.4164196	car_rental	Surbiton Street	osm
S9	osm_1144887920	At-Tawheed	53.3869196	-1.4114064	travel_agency	Main Road	osm
S9	osm_1120801578	Attercliffe Car Company	53.3937475	-1.4318533	car		osm
S9	osm_1120801584	Attercliffe Pharmacy	53.3938979	-1.4318554	pharmacy	Attercliffe Road	osm
S9	osm_104870382	Attercliffe Police Station	53.3981726	-1.4262806	police		osm
S9	osm_634006813	Attercliffe Post Office	53.3958192	-1.4302394	post_office	Attercliffe Road	osm
S9	osm_110026479	Autohaus Dolby	53.3932866	-1.409179	car_repair	Barleywood Road	osm
S9	osm_108692964	Balfour Carpets	53.3880533	-1.4189	carpet	Staniforth Road	osm
S9	osm_1144152439	Bargain Zone	53.3861655	-1.4116853	variety_store	Staniforth Road	osm
S9	osm_106298310	Bee Pszczolka	53.3863123	-1.4101517	convenience	Main Road	osm
S9	osm_1120801573	Big Baps	53.3933327	-1.432604	fast_food	Attercliffe Road	osm
S9	osm_106555005	Big Filla	53.4020558	-1.4180194	fast_food	Broughton Lane	osm
S9	osm_6216474355	Blade	53.3994363	-1.4229245	artwork		osm
S9	osm_1144887923	Bob's Fruit & Veg	53.3870192	-1.4113594	greengrocer	Main Road	osm
S9	osm_1120801576	Brotherhood Barbers	53.393416	-1.4324576	hairdresser	Attercliffe Road	osm
S9	osm_1143946983	Bully Pound	53.3856783	-1.4093273	pet	Greenland Road	osm
S9	osm_102326767	Cafe 313	53.3950501	-1.4279639	cafe	Worksop Road	osm
S9	osm_1144152433	Cake Box	53.3863733	-1.4107566	pastry	Main Road	osm
S9	osm_599315988	Canon Medical Arena	53.3948357	-1.4253272	stadium		osm
S9	osm_110565783	CC Motors	53.3972722	-1.413146	car		osm
S9	osm_1144986819	Chaii Nastha	53.3850398	-1.4080953	cafe	Main Road	osm
S9	osm_1095006113	Chamak	53.3858719	-1.4103546	clothes		osm
S9	osm_277034722	Chapelwood Meeting Room	53.3927853	-1.4165441	place_of_worship		osm
S9	osm_1122291423	Charlie's Angels Fm	53.394137	-1.432323	trade	Attercliffe Road	osm
S9	osm_106123844	Chaska Chai	53.3900881	-1.4280861	cafe	Staniforth Road	osm
S9	osm_1144887910	Chick Fried	53.3865253	-1.4115508	fast_food	Main Road	osm
S9	osm_1079984274	China Town	53.3798204	-1.4184349	restaurant	Mather Road	osm
S9	osm_75238140	Chiquito	53.4012583	-1.4154089	restaurant	Valley Centertainment	osm
S9	osm_108732648	Church Of Christ	53.3860511	-1.4109462	place_of_worship		osm
S9	osm_104639242	Church of Jesus Christ Apostolic	53.3846835	-1.4098572	place_of_worship		osm
S9	osm_206103114	Cineworld	53.4026222	-1.4137903	cinema		osm
S9	osm_1301121252	Clifton Garage	53.4026496	-1.4172552	car_repair	Clifton Street	osm
S9	osm_1143946982	Colour Box	53.3856963	-1.4094062	hairdresser	Greenland Road	osm
S9	osm_1104721858	Costa Drive Thru	53.3901431	-1.4089347	cafe	Greenland Road	osm
S9	osm_96112401	Costco	53.3841446	-1.4203748	wholesale	Parkway Drive	osm
S9	osm_12589814212	Costco Food Court	53.3842549	-1.4210275	fast_food		osm
S9	osm_1060663474	Costco Fuel	53.383196	-1.4197489	fuel		osm
