postcode	placeId	name	latitude	longitude	types	vicinity	source
S25	osm_116786112	Abbey School	53.4363592	-1.4059397	school	Little Common Lane	osm
S25	osm_480866369	Accessorize	53.4144808	-1.41028	fashion_accessories		osm
S25	osm_148709015	Acorn Pet Supplies	53.437148	-1.4374678	pet		osm
S25	osm_116503140	Air Haus	53.4126644	-1.4052768	indoor_play	Vulcan Road	osm
S25	osm_480609786	AllSaints	53.4147296	-1.4107823	clothes		osm
S25	osm_114437359	American Golf	53.4128081	-1.4033121	sports	Plumper's Road	osm
S25	osm_389680478	Bake N Butty	53.4332604	-1.3952495	deli		osm
S25	osm_480612100	Barbour	53.4146696	-1.4111479	clothes		osm
S25	osm_480866359	Baytree Interiors	53.4145705	-1.4093025	furniture		osm
S25	osm_480612105	Beaverbrooks	53.4146457	-1.4110745	jewelry		osm
S25	osm_25886221	Beck Primary School	53.4355088	-1.4470937	school	Beck Road	osm
S25	osm_1241467467	Best-in	53.4319505	-1.4501372	alcohol	Hartley Brook Road	osm
S25	osm_23322747	Blackburn Meadows Nature Reserve	53.4231411	-1.3834857	nature_reserve		osm
S25	osm_10997007977	Blackburn Minimarket	53.4317051	-1.4195005	convenience		osm
S25	osm_141267562	Blackburn Primary School	53.4308265	-1.4184754	school	Baring Road	osm
S25	osm_301255688	Blackburn Youth Club	53.4310497	-1.4167329	community_centre	Baring Road	osm
S25	osm_6898016826	Brutus	53.4337756	-1.4055246	artwork		osm
S25	osm_480607862	Carvela	53.4149873	-1.4092966	shoes		osm
S25	osm_480208195	Castle Galleries	53.4150007	-1.4095282	arts_centre		osm
S25	osm_480866351	Charles Clinkard	53.4145862	-1.4095968	clothes		osm
S25	osm_1246905999	Cohens Chemist	53.4110138	-1.3947964	pharmacy	Bawtry Road	osm
S25	osm_13476823081	Cooling Tower in Nature's Fabric	53.4153911	-1.3937148	artwork		osm
S25	osm_6900180104	Crow Girl	53.4379317	-1.4104432	artwork		osm
S25	osm_138259646	Csk Motors	53.4274121	-1.4173977	car	Blackburn Road	osm
S25	osm_480208216	Curated Makers	53.4145883	-1.4101058	gift		osm
S25	osm_480212977	Daily News	53.4150027	-1.4112238	newsagent	The Arcade	osm
S25	osm_5693335676	Dave's Fish Bar	53.4301175	-1.3977167	fast_food		osm
S25	osm_480214066	Diesel	53.4149278	-1.4103899	clothes		osm
S25	osm_283476895	Eastwoods	53.4201999	-1.4225853	convenience		osm
S25	osm_480609761	Ernest Jones	53.4146638	-1.4109185	jewelry		osm
S25	osm_480212994	Eurochange	53.4150537	-1.4115932	bureau_de_change		osm
S25	osm_283496576	Fife Street Stores	53.4229078	-1.419597	convenience	Fife Street	osm
S25	osm_137990608	Flannels	53.4152356	-1.4096619	clothes		osm
S25	osm_480596441	Frasers	53.414697	-1.4080154	department_store		osm
S25	osm_6897992392	Freddy	53.4355008	-1.4110663	artwork		osm
S25	osm_480612103	French Connection	53.4148474	-1.4111778	clothes		osm
S25	osm_1241467468	Fresh Trimz	53.4319885	-1.4502609	hairdresser	Hartley Brook Road	osm
S25	osm_1241467466	Future Cigs	53.4321483	-1.450846	e-cigarette	Hartley Brook Road	osm
S25	osm_1241467463	Gingers	53.4320546	-1.4510686	hairdresser	Hartley Brook Road	osm
S25	osm_96868950	Grange Park Golf Course	53.4423764	-1.4227913	golf_course		osm
S25	osm_148709016	Hancock Cars	53.4372108	-1.438032	car	Ecclesfield Road	osm
S25	osm_116235249	Hanfia Masjid	53.4164538	-1.3982016	place_of_worship		osm
S25	osm_6001118181	Hartley Brook Road Post Office	53.431958	-1.4500865	post_office	Hartley Brook Road	osm
S25	osm_480208193	Hawes & Curtis	53.4149806	-1.4091801	clothes		osm
S25	osm_1227239593	High Greave Motors	53.4377448	-1.4366728	car_repair	Deep Lane	osm
S25	osm_1246906005	Highgate Bakery	53.4107223	-1.3945158	bakery	Bawtry Road	osm
S25	osm_1246905998	Highgate Fisheries	53.411056	-1.3948364	fast_food	Bawtry Road	osm
S25	osm_480607861	Hobbs	53.414994	-1.4094126	clothes	Park Lane	osm
S25	osm_480212965	H.Samuel	53.4145888	-1.4110266	jewelry		osm
S25	osm_480214073	Hugo Boss	53.4149927	-1.4102873	clothes		osm
S25	osm_127720199	Ingle Boxing Gym	53.4209159	-1.4183262	fitness_centre		osm
S25	osm_117010309	ItsaGoal	53.4152259	-1.3925161	sports		osm
S25	osm_480607860	Jacques Vert	53.4150007	-1.4095282	clothes		osm
S25	osm_480208204	Joules	53.4145904	-1.4091314	clothes		osm
S25	osm_1062299343	Jump Inc	53.4126947	-1.4066121	trampoline_park	Vulcan Road	osm
