postcode	placeId	name	latitude	longitude	types	vicinity	source
S13	osm_137228594	A57 Car Testing Centre	53.3740511	-1.3905683	car_repair	Handsworth Road	osm
S13	osm_5974704360	Allied Pharmacy	53.3729119	-1.390019	pharmacy		osm
S13	osm_7525896009	Asda	53.3760071	-1.3965471	pharmacy	Handsworth Road	osm
S13	osm_6574853854	Asda Café	53.3762436	-1.3964518	cafe	Handsworth Road	osm
S13	osm_7525896008	Asda Opticians	53.3760165	-1.3961113	optician	Handsworth Road	osm
S13	osm_131492544	Athelstan Primary School	53.3703965	-1.3999109	school	Sheffield	osm
S13	osm_12568583104	Bake 'n' Butty	53.3734582	-1.3900338	cafe	Handsworth Road	osm
S13	osm_12568583140	Bargain Shop	53.3737231	-1.3904469	variety_store	Handsworth Road	osm
S13	osm_137227158	CarSupermarket.com	53.3738716	-1.3928484	car	Handsworth Road	osm
S13	osm_137168013	Christian Life Centre	53.3757076	-1.3927399	place_of_worship	Handsworth Road	osm
S13	osm_115898993	City Auto's	53.3827531	-1.4000871	car_repair	Handsworth Road	osm
S13	osm_12568583123	Diamond Nails	53.3731534	-1.3897001	beauty	Handsworth Road	osm
S13	osm_317691103	Fitness Superstore	53.4058096	-1.4120624	fitness_centre	Attercliffe Common	osm
S13	osm_4594157389	Fone Fun Shop	53.3782798	-1.3969543	mobile_phone	Handsworth Road	osm
S13	osm_137169415	Food Works	53.3740165	-1.3949676	social_facility	Richmond Park Road	osm
S13	osm_1263802517	Frydays	53.3815285	-1.399546	fast_food	Handsworth Road	osm
S13	osm_1278842122	FX for Hair	53.3714689	-1.3973577	hairdresser	Richmond Park Road	osm
S13	osm_1263802530	Hair do Salon	53.3810994	-1.3992634	hairdresser	Handsworth Road	osm
S13	osm_3083195979	Hall Court Veterinary Group Handsworth Surgery	53.3747639	-1.3917689	veterinary	Handsworth Road	osm
S13	osm_1263802529	Handsworth Chiropody Clinic	53.3810486	-1.3992479	doctors	Handsworth Road	osm
S13	osm_1263802525	Handsworth Convenience Store	53.3812728	-1.3993646	convenience	Handsworth Road	osm
S13	osm_137228596	Handsworth Dental Care	53.3736386	-1.3902572	dentist		osm
S13	osm_4594159890	Handsworth Iron Works	53.3758802	-1.3876926	hardware	Finchwell Close	osm
S13	osm_12568583105	Handsworth Medical Practice	53.3726549	-1.3889395	doctors		osm
S13	osm_137339061	Handsworth Methodist Church	53.3731165	-1.3895023	place_of_worship	Handsworth Road	osm
S13	osm_3083195973	Handsworth Post Office	53.3735141	-1.3901263	post_office	Handsworth Road	osm
S13	osm_8264121713	Hazel	53.3755267	-1.4065598	artwork		osm
S13	osm_1263802521	iCompare Building Products Ltd	53.382554	-1.3984857	trade	Handsworth Road	osm
S13	osm_567588445	IKEA	53.4071998	-1.4105315	furniture		osm
S13	osm_10989706046	Intelligent Facility Solutions Ltd	53.4017401	-1.4060354	electrical	Europa Drive	osm
S13	osm_12568583156	Ivy Ivy	53.3754333	-1.3926512	cafe	Handsworth Road	osm
S13	osm_317691108	Jollyes	53.4056732	-1.4121383	pet	Attercliffe Common	osm
S13	osm_115902460	Koko & White	53.3816379	-1.3996104	beauty		osm
S13	osm_1278842121	La Notte Pizza	53.3715141	-1.3974411	fast_food	Richmond Park Road	osm
S13	geograph_1258133	Millennium sign on Living Waters premises, 81 Main Road, Darnall	53.388294	-1.412366	geograph		geograph
S13	osm_70395150	Motorpoint	53.396783	-1.4023625	car		osm
S13	osm_70395869	Parfetts	53.4007588	-1.4041411	wholesale	Europa Drive	osm
S13	osm_1263672089	Parkgate Mobility	53.3739407	-1.3916716	mobility_scooter	Handsworth Road	osm
S13	osm_606351041	Parkway Fire Station	53.3758719	-1.405597	fire_station		osm
S13	osm_6571074553	Parkway Man	53.3748194	-1.4032065	artwork		osm
S13	osm_1263802518	Pizza King	53.3815867	-1.3995801	fast_food	Handsworth Road	osm
S13	osm_1278842123	Q & A Furniature & Beds	53.3714389	-1.3973546	furniture	Richmond Park Road	osm
S13	osm_13203929566	Rileys	53.3745095	-1.3956659	fitness_centre		osm
S13	osm_1278842120	Rosy's	53.371623	-1.3974632	convenience	Richmond Park Road	osm
S13	osm_115888956	South Yorkshire Police Command Centre	53.3960073	-1.3994604	police	Europa Link	osm
S13	osm_115888969	South Yorkshre Police Operations Complex	53.3958285	-1.3979004	police	Europa Link	osm
S13	osm_12568583142	Stacie's Nails and More	53.3737875	-1.3905229	beauty	Handsworth Road	osm
