postcode,placeId,name,latitude,longitude,types,vicinity,source,rating
S1 4JP,osm_1138956471,John Heath & Sons,53.3921838,-1.4574383,funeral_directors,Earsham Street,osm,
S1 4JP,osm_1138956485,Daleel Travel & Tourism,53.3920536,-1.4577564,travel_agency,Earsham Street,osm,
S1 4JP,osm_1138956487,Lloyds Pharmacy,53.3931527,-1.4570918,pharmacy,Ellesmere Road,osm,
S1 4JP,osm_1138956488,Red Sea,53.3933448,-1.4569222,convenience,Ellesmere Road,osm,
S1 4JP,osm_1138956489,Nellies,53.3932169,-1.4570701,fast_food,Ellesmere Road,osm,
S1 4JP,osm_1138956490,Shahd Centre,53.3932684,-1.4570258,clothes,Ellesmere Road,osm,
S1 4JP,osm_1139740136,Manahatta,53.3808573,-1.4716121,bar,Balm Green,osm,
S1 4JP,osm_1147463813,Cheap Dates,53.3815314,-1.4701188,bar,Orchard Square,osm,
S1 4JP,osm_1147463814,Terrace Goods,53.3816089,-1.4701433,restaurant,Orchard Square,osm,
S1 4JP,osm_1149752577,Mr Gao’s Hair Style Studio,53.374204,-1.4740093,hairdresser,Hereford Street,osm,
S1 4JP,osm_1149752578,Hollywood Nails,53.3741768,-1.4739351,beauty,Hereford Street,osm,
S1 4JP,osm_1149752579,Robin's Nest Comics,53.3741509,-1.4738624,anime,Hereford Street,osm,
S1 4JP,osm_1153335587,Oxfam,53.3766248,-1.5031723,charity,Fulwood Road,osm,
S1 4JP,osm_1153335597,The Itchy Pig,53.3769593,-1.5016353,pub,Glossop Road,osm,
S1 4JP,osm_1153335598,Hair By Christmas,53.3767964,-1.502812,hairdresser,Fulwood Road,osm,
S1 4JP,osm_1153335599,Broomhill Post Office,53.3767706,-1.5028916,post_office,Fulwood Road,osm,
S1 4JP,osm_1153335600,SM Hair,53.3767222,-1.5029507,hairdresser,Fulwood Road,osm,
S1 4JP,osm_1153335601,Sheffield Late Night Pharmacy,53.3767263,-1.5030271,pharmacy,Fulwood Road,osm,
S1 4JP,osm_1153335602,Fruit-A-Peel,53.3767074,-1.5030846,greengrocer,Fulwood Road,osm,
S1 4JP,osm_1153335603,Sun House,53.3768022,-1.5027301,restaurant,Fulwood Road,osm,
S1 4JP,osm_1153335604,David Inman,53.3768491,-1.502666,optician,Fulwood Road,osm,
S1 4JP,osm_1153335605,Revelations,53.3768574,-1.5025713,hairdresser,Fulwood Road,osm,
S1 4JP,osm_1153335606,Proove,53.3768798,-1.5024748,restaurant,Fulwood Road,osm,
S1 4JP,osm_1153335607,Remos,53.3768977,-1.5023973,restaurant,Fulwood Road,osm,
S1 4JP,osm_1153335608,Bambukat,53.376952,-1.5023563,restaurant,Fulwood Road,osm,
S1 4JP,osm_1153335609,Age UK,53.3769563,-1.5022708,charity,Fulwood Road,osm,
S1 4JP,osm_1153335610,CAWA Coffee,53.3769882,-1.5021962,cafe,Fulwood Road,osm,
S1 4JP,osm_1153335611,Boulevardier,53.3769842,-1.5018862,bar,Glossop Road,osm,
