Loading from /tmp/toiletmap_toilets.json...
Loaded 15751 toilets.
Filtered to 82 toilets.
postcode	placeId	name	latitude	longitude	types	vicinity	source	rating
S5 7AU	toiletmap_90f674cc27b8ba983fbec332	Ground Floor Toilets	53.381830768	-1.481901741	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_921e521ba8fc3c772fb33714	Pound's Park, Rockingham Street	53.378745145	-1.474699616	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_92ee43a7dc44de79346fea38	Heeley Farm	53.36301834	-1.467726255	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_93517b272900aaca9ce3b927	Public toilet	53.3592223	-1.3783803	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_94069de2ab48beeac6fa37cd	Sheffield Station concourse	53.377977437	-1.462847563	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_958f403b4ffbd278efedd2f6	Rivelin Valley Park Toilets	53.3910499	-1.5180469	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_96cf0faaada52ebf769ede8b	Shiregreen Cemetery	53.4212512	-1.4356468	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_979222da20b90218620c0aa3	Public toilet	53.4402166	-1.5011482	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_97a0d95b7cc2c0e77aa335e0	Hillsborough Leisure Centre	53.408271947	-1.495921612	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_97a994f56f0c04a8e6381f6b	Sheffield Bus Interchange	53.380930284	-1.463850439	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_9a2bc7c24c4e20878777a7e3	Ecclesall Woods Discovery Centre Toilets	53.338021215	-1.518143713	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_a0759546067fa165136ad3af	Whirlow Brook Park	53.341081975	-1.538240609	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_a0a888785eb62efbe3a552fb	Fox Valley	53.483310269	-1.589380503	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_a5a71d83c93e1128abe8ae5e	Asda, Chapeltown	53.462519596	-1.4658916	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_a99d2caa1f6cd496d42b94c2	Sainsbury's Archer Road	53.345677421	-1.492820978	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_addb7d7c7a33ebe1fb3898d4	St Marie's Roman Catholic Cathedral	53.381328538	-1.468176842	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_b136bfcfb2885962edff980c	Lidl	53.357947291	-1.476812687	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_b34938add82a5536275aecba	Eight Foot Way PH	53.427402582	-1.491247183	public_toilet, accessible	Sheffield	toiletmap	
Wrote 82 rows.
S5 7AU	toiletmap_b965ef456b70ed2299992321	Sheffield Students' Union	53.380817107	-1.487434067	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_ba1a24739eac4ce9560168ff	Asda Store	53.428217963	-1.487134231	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_bebbbaa96a8a730dfb424b00	Waitrose, Sheffield	53.373078647	-1.47870183	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_c173c0fcc61168330899dc53	Costa coffee	53.356608666	-1.478590057	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_c214b059092ac0ae2d7e636e	Birley Moor Road Automatic Toilet	53.3489239	-1.4011409	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_c5315853d3c719cf1d81cf16	Morrisons, Ecclesfield	53.444212566	-1.459186077	public_toilet, accessible	Sheffield	toiletmap	
